TOTAL_STALLS,MP_STALLS,CF_STALLS,POSTAL_CODE,OWNER,TYPE,LOCATION_CENTRE,NAME_OF_CENTRE,INC_CRC,FMEL_UPD_D,latitude,longitude
223,111,112,199583,Government,MHC,"505, Beach Road, S(199583)",Golden Mile Food Centre,A8C7917E7CD8DBA4,20141226094235,1.30314151702473,103.863877378496
106,61,45,270044,HDB,MHC,"Blk 44, Holland Drive, S(270044)",Blk 44 Holland Drive,2A1CCE8D0CF8D470,20141226094235,1.30811780974286,103.79277377894
69,48,21,277700,Government,MHC,"1, Lorong Mambong, S(277700)",Holland Village Market & Food Centre,185550BFB6F4A070,20141226094235,1.31114896752555,103.79483380689
143,40,103,51531,HDB,MHC,"Blk 531A, Upper Cross Street, S(051531)",Hong Lim Market & Food Centre,0FD5B62D96F89474,20141226094235,1.28529908693582,103.845823810738
94,78,16,397972,Government,MHC,"17, Old Airport Road, S(397972)",Kallang Estate Market,919EB3E8EE6ED22D,20141226094235,1.30734401581935,103.884018305945
76,0,76,48940,Government,HC,"50, Market Street, Golden Shoe Multi-Storey Car Park, 2nd/3rd Storey S(048940)",Market Street Food Centre,D518E2DF89A11B89,20141226094235,1.28388541323894,103.849983684218
106,0,106,69184,Government,HC,"1, Kadayanallur Street, S(069184)",Maxwell Food Centre,409122298EF93377,20141226094235,1.28033024990422,103.844733514898
83,0,83,229495,Government,HC,"500, Clemenceau Ave North, S(229495)",Newton Food Centre,1A543DB5D6CED7EC,20141226094235,1.31218587337693,103.839412499443
119,82,37,198783,Government,MHC,"861, North Bridge Road, S(198783)",North Bridge Road Market & Food Centre,791D32393943BC77,20141226094235,1.30563434531607,103.863909346503
45,0,45,118543,Government,HC,"121, Pasir Panjang Road, S(118543)",Pasir Panjang Food Centre,7A4F421C2CA95F3F,20141226094235,1.27590755886885,103.791402719856
36,0,36,574419,Government,HC,"590, Upper Thomson Road, S(574419)",Sembawang Hills Food Centre,8195DEA5CD160511,20141226094235,1.37238419753667,103.82899325725
111,101,10,564226,HDB,MHC,"Blk 226D, Ang Mo Kio Ave 1, S(564226)",Blk 226D Ang Mo Kio Ave 1,96FAAC9AAB372E8F,20141226094235,1.36681000495722,103.839142558292
29,0,29,568226,HDB,HC,"Blk 226H, Ang Mo Kio Street 22, S(568226)",Blk 226H Ang Mo Kio Street 22,3983AD8B5B4C6068,20141226094235,1.36719653700044,103.84002222809
147,87,60,600254,HDB,MHC,"Blk 254, Jurong East Street 24, S(600254)",Blk 254 Jurong East Street 24,5A1B2D80079C8D80,20141226094235,1.34348812560694,103.73773840346
193,105,88,330029,HDB,MHC,"Blk 29, Bendemeer Road, S(330029)",Blk 29 Bendemeer Road,09B019844E18A0CA,20141226094235,1.3192166867721,103.863020925556
82,51,31,570320,HDB,MHC,"Blk 320, Shunfu Road, S(570320)",Blk 320 Shunfu Road,FB0614F285CBED30,20141226094235,1.35202556283625,103.836964514004
118,86,32,560341,HDB,MHC,"Blk 341, Ang Mo Kio Ave 1, S(560341)",Blk 341 Ang Mo Kio Ave 1,627BD8BA2A4BEBAF,20141226094235,1.36384516738631,103.848067300496
225,169,56,600347,HDB,MHC,"Blk 347, Jurong East Ave 1, S(600347)",Blk 347 Jurong East Ave 1,6D19E616EDA1B689,20141226094235,1.34518811200878,103.731144806193
53,29,24,90036,HDB,MHC,"Blk 36, Telok Blangah Rise, S(090036)",Blk 36 Telok Blangah Rise,1634482A4473E872,20141226094235,1.2725891448479,103.821998237127
80,52,28,601037,HDB,MHC,"Blk 37A, Teban Gardens Road, S(601037)",Blk 37A Teban Gardens Road,DB9E22E35FA0AF9F,20141226094235,1.32083172111871,103.742747351986
142,102,40,560409,HDB,MHC,"Blk 409, Ang Mo Kio Ave 10, S(560409)",Blk 409 Ang Mo Kio Ave 10,274C6C30622017F6,20141226094235,1.36265410043436,103.855288301498
143,92,51,120448,HDB,MHC,"Blk 448, Clementi Ave 3, S(120448)",Blk 448 Clementi Ave 3,60D7585E3CD0532A,20141226094235,1.31331969357879,103.764517193421
222,184,38,561453,HDB,MHC,"Blk 453A, Ang Mo Kio Ave 10, S(561453)",Blk 453A Ang Mo Kio Ave 10,2342811282C5567C,20141226094235,1.3682513033781,103.856308677281
144,78,66,380049,HDB,MHC,"Blk 49, Sims Place, S(380049)",Blk 49 Sims Place,36E83AE525C6D930,20141226094235,1.31703502746749,103.879309859634
66,30,36,432004,HDB,MHC,"Blk 4A, Jalan Batu, S(432004)",Blk 4A Jalan Batu,FF114CC3713C568B,20141226094235,1.30234533816469,103.883909749659
78,0,78,731004,HDB,HC,"Blk 4A, Woodlands Centre Road, S(731004)",Blk 4A Woodlands Centre Road,CC262308E4F22060,20141226094235,1.44108421544269,103.770076811961
190,130,60,640505,HDB,MHC,"Blk 505, Jurong West Street 52, S(640505)",Blk 505 Jurong West Street 52,F99BD94CB737D547,20141226094235,1.34965728797728,103.718443684502
111,87,24,441050,HDB,MHC,"Blk 50A, Marine Terrace, S(441050)",Blk 50A Marine Terrace,77B7962CA0184F3B,20141226094235,1.30572973690803,103.915737039583
222,54,168,390051,HDB,MHC,"Blk 51, Old Airport Road, S(390051)",Blk 51 Old Airport Road,831EBDD33BD3F946,20141226094235,1.30810982511157,103.885731678014
125,83,42,460511,HDB,MHC,"Blk 511, Bedok North Street 3, S(460511)",Blk 511 Bedok North Street 3,6C95E489153EF97C,20141226094235,1.33300947788224,103.930455971641
150,100,50,560527,HDB,MHC,"Blk 527, Ang Mo Kio Ave 10, S(560527)",Blk 527 Ang Mo Kio Ave 10,8421593013DA4021,20141226094235,1.37277208982045,103.854457964314
124,84,40,460538,HDB,MHC,"Blk 538, Bedok North Street 3, S(460538)",Blk 538 Bedok North Street 3,578B48645C1F72A1,20141226094235,1.33206726719415,103.924621320658
195,147,48,461058,HDB,MHC,"Blk 58, New Upper Changi Road, S(461058)",Blk 58 New Upper Changi Road,6D5F387DBFA6F889,20141226094235,1.32420088206515,103.941125284506
218,166,52,560628,HDB,MHC,"Blk 628, Ang Mo Kio Ave 4, S(560628)",Blk 628 Ang Mo Kio Ave 4,27DDFA1E732DEBB8,20141226094235,1.38099060141854,103.840628094393
111,75,36,470630,HDB,MHC,"Blk 630, Bedok Reservoir Road, S(470630)",Blk 630 Bedok Reservoir Road,7D8300C33BD9A02E,20141226094235,1.33315929117989,103.914053979066
211,127,84,330069,HDB,MHC,"Blk 69, Geylang Bahru, S(330069)",Blk 69 Geylang Bahru,870C4347BE39F0BC,20141226094235,1.32146311126807,103.870005024383
108,68,40,260007,HDB,MHC,"Blk 7, Empress Road, S(260007)",Blk 7 Empress Road,D718436C85F3AAA0,20141226094235,1.3162457528889,103.80563642456
123,78,45,560724,HDB,MHC,"Blk 724, Ang Mo Kio Ave 6, S(560724)",Blk 724 Ang Mo Kio Ave 6,93616A592D1E269C,20141226094235,1.37217258443782,103.846510312494
195,135,60,120726,HDB,MHC,"Blk 726, Clementi West Street 2, S(120726)",Blk 726 Clementi West Street 2,6712BAB9FB414D33,20141226094235,1.30381073921218,103.76425075431
90,80,10,310074,HDB,MHC,"Blk 74, Lorong 4 Toa Payoh, S(310074)",Blk 74 Toa Payoh Lorong 4,70A8297B95D563DA,20141226094235,1.33455074869237,103.852003509927
