LIC_NAME,BLK_HOUSE,STR_NAME,UNIT_NO,POSTCODE,LIC_NO,INC_CRC,FMEL_UPD_D,latitude,longitude
NTUC FAIRPRICE CO-OPERATIVE LTD,1,JOO KOON CIRCLE,21,629117,SW14951X000,F1D64DC8D496ACF9,2.01901E+13,1.324606651,103.6780964
SHINVA AGRO FOODS PTE. LTD.,115,TUAS VIEW WALK 1,,637734,SW14B28C000,A9DE0AD466C95728,2.01901E+13,1.300911466,103.6277889
NTUC FAIRPRICE CO-OPERATIVE LTD,533,CHOA CHU KANG STREET 51,11,680533,SW15796X000,A16EBC8EBD498EA6,2.01901E+13,1.392073879,103.7430996
NTUC FAIRPRICE CO-OPERATIVE LTD,37,TEBAN GARDENS ROAD,,600037,SW15968N000,53A4EFCFCC3D4DFA,2.01901E+13,1.320520272,103.7426515
PHAN NEE INVESTMENTS (S) PTE LTD,500,OLD CHOA CHU KANG ROAD,2,698928,SW16815P000,BAD7F5812CF75584,2.01901E+13,1.371932805,103.7208574
NTUC FAIRPRICE CO-OPERATIVE LTD,249,JURONG EAST STREET 24,106,600249,SW16D83E000,9AC5B4E2A87A7A6E,2.01901E+13,1.342591042,103.7391995
THE QUALITYMART DEPOT PTE. LTD.,180,DEPOT ROAD,4,109684,SW18581V000,CF9C4895C171420F,2.01901E+13,1.282201364,103.8030238
COLD STORAGE SINGAPORE (1983) PTE LTD,35,STUDENTS WALK,,639548,SW18A40J000,6CF840C05D0A7F10,2.01901E+13,1.348133785,103.6854185
SHENG SIONG SUPERMARKET PTE LTD,451,BUKIT BATOK WEST AVENUE 6,10,650451,SW18F69X000,3A6DBDBC1432AB52,2.01901E+13,1.353038247,103.7439484
HONESTBEE PTE. LTD.,34,BOON LEAT TERRACE,,119866,SW18G66X000,DE2257E6D124282F,2.01901E+13,1.276045195,103.7971873
NTUC FAIRPRICE CO-OPERATIVE LTD,302,TIONG BAHRU ROAD,1,168732,W02072P000,C55DEE69E7AAF209,2.01901E+13,1.286463457,103.8269351
NTUC FAIRPRICE CO-OPERATIVE LTD,166,BUKIT MERAH CENTRAL,3527,150166,W02083K000,4BE5C143A910D3C6,2.01901E+13,1.283119503,103.8176429
NTUC FAIRPRICE CO-OPERATIVE LTD,360,BALESTIER ROAD,0,329783,W02084J000,7DE69C15A72F9F33,2.01901E+13,1.325126533,103.8510556
NTUC FAIRPRICE CO-OPERATIVE LTD,50,HAVELOCK ROAD,755,160050,W02086C000,EDD106F54293EF96,2.01901E+13,1.28977814,103.8267938
NTUC FAIRPRICE CO-OPERATIVE LTD,5,TANJONG PAGAR PLAZA,1,81005,W02092J000,FECB787EB52CC718,2.01901E+13,1.27624053,103.8430061
NTUC FAIRPRICE CO-OPERATIVE LTD,131,KILLINEY ROAD,"01,02",239571,W02239E000,167A1DC3F2F1FBE8,2.01901E+13,1.29727532,103.8385339
NTUC FAIRPRICE CO-OPERATIVE LTD,1,JELEBU ROAD,15,677743,B02020N000,E3FC0A790D9DA49D,2.01901E+13,1.380542441,103.763994
NTUC FAIRPRICE CO-OPERATIVE LTD,30,SEMBAWANG DRIVE,3-Jan,757713,B02021L000,50949CAD1F658572,2.01901E+13,1.44822653,103.8194621
NTUC FAIRPRICE CO-OPERATIVE LTD,71,WOODLANDS AVENUE 3,1,739044,B02022K000,F1DA7D4DC4AA14B7,2.01901E+13,1.432626029,103.7740512
NTUC FAIRPRICE CO-OPERATIVE LTD,888,WOODLANDS DRIVE 50,757,730888,B02024E000,A76A3FA3060EE880,2.01901E+13,1.437556564,103.7951364
NTUC FAIRPRICE CO-OPERATIVE LTD,414,YISHUN RING ROAD,1853,760414,B02025C000,DB8BB7E530A7811F,2.01901E+13,1.424528481,103.8465956
NTUC FAIRPRICE CO-OPERATIVE LTD,30,WOODLANDS AVENUE 1,,739065,B02034B000,AC5343DCF943E46A,2.01901E+13,1.429194683,103.7811369
NTUC FAIRPRICE CO-OPERATIVE LTD,301,YISHUN AVENUE 2,2,769093,B02093B000,8E1D41DB11B8825E,2.01901E+13,1.429525221,103.8349951
NTUC FAIRPRICE CO-OPERATIVE LTD,849,YISHUN RING ROAD,3703,760849,B02099L000,B35ACF8E2815B407,2.01901E+13,1.416983156,103.8352182
NTUC FAIRPRICE CO-OPERATIVE LTD,628,SENJA ROAD,1,670628,B03099C000,1330E9CA8B3A45B7,2.01901E+13,1.385096015,103.7602184
NTUC FAIRPRICE CO-OPERATIVE LTD,215,ANG MO KIO AVENUE 1,877,560215,B98014C000,D513E0661525BF90,2.01901E+13,1.366558299,103.8416241
NTUC FAIRPRICE CO-OPERATIVE LTD,1,ORCHID CLUB ROAD,34,769162,B99041L000,F90120CBD2BCBA51,2.01901E+13,1.411035981,103.8440399
NTUC FAIRPRICE CO-OPERATIVE LTD,587,BUKIT TIMAH ROAD,,269707,C02034X000,AC7575B726B5FFD7,2.01901E+13,1.323835127,103.8099996
NTUC FAIRPRICE CO-OPERATIVE LTD,451,CLEMENTI AVENUE 3,307,120451,C02035P000,EFB6758D47B36C67,2.01901E+13,1.312482993,103.7654768
NTUC FAIRPRICE CO-OPERATIVE LTD,1,JALAN ANAK BUKIT,1,588996,C02036N000,E5E781D6EA88B7A6,2.01901E+13,1.338656771,103.7785605
NTUC FAIRPRICE CO-OPERATIVE LTD,135,JURONG EAST STREET 13,337,600135,C02037L000,6D7812A1351B491B,2.01901E+13,1.333753433,103.7393714
NTUC FAIRPRICE CO-OPERATIVE LTD,1,JURONG WEST CENTRAL 2,9,648886,C02038K000,CB59096738AA19D4,2.01901E+13,1.339830148,103.7064609
NTUC FAIRPRICE CO-OPERATIVE LTD,63/66,YUNG KUANG ROAD,,610063,C02040A000,86615D3A14841744,2.01901E+13,1.332059376,103.7224529
NTUC FAIRPRICE CO-OPERATIVE LTD,399,YUNG SHENG ROAD,,610399,C02041V000,D5B771676FE02444,2.01901E+13,1.335042019,103.720268
NTUC FAIRPRICE CO-OPERATIVE LTD,166,BUKIT BATOK WEST AVENUE 8,,650166,C02053L000,FD7B034D6FAD7B21,2.01901E+13,1.347162359,103.7428079
NTUC FAIRPRICE CO-OPERATIVE LTD,10,BUKIT BATOK CENTRAL,8,659958,C02104B000,7229CB311386809E,2.01901E+13,1.348710801,103.7493345
NTUC FAIRPRICE CO-OPERATIVE LTD,BLK 345,JURONG EAST STREET 31,29,600345,C85274C000,E708205620B9F225,2.01901E+13,1.3455121,103.7312191
NTUC FAIRPRICE CO-OPERATIVE LTD,57,DAWSON ROAD,1,142057,CE04086K000,07108C84A74C8A7C,2.01901E+13,1.292703398,103.810959
SHENG SIONG SUPERMARKET PTE LTD,19,SERANGOON NORTH AVENUE 5,2-Jan,554913,CE04561V000,1D54775F11935375,2.01901E+13,1.375635002,103.8719964
NTUC FAIRPRICE CO-OPERATIVE LTD,71,KALLANG BAHRU,531,330071,CE05295K000,DBA039A142EA9994,2.01901E+13,1.32099295,103.87039
NTUC FAIRPRICE CO-OPERATIVE LTD,1,JALAN BUKIT MERAH,4500,150001,CE05487V000,B1D48DC85DA7AD12,2.01901E+13,1.286453544,103.8082424
NTUC FAIRPRICE CO-OPERATIVE LTD,491,RIVER VALLEY ROAD,14,248371,CE06044N000,ABBD171C982AD017,2.01901E+13,1.293017861,103.8269408
NTUC FAIRPRICE CO-OPERATIVE LTD,10,SINARAN DRIVE,47/48,307506,CE06L48L000,3FF83B006AE67CA8,2.01901E+13,1.320429679,103.8438921
NTUC FAIRPRICE CO-OPERATIVE LTD,53,ANG MO KIO AVENUE 3,40,569933,CE06M36N000,48276C87BC805392,2.01901E+13,1.369248907,103.8483992
NTUC FAIRPRICE CO-OPERATIVE LTD,43,CAMBRIDGE ROAD,15,210043,CE07320C000,82A43E54FB4A0EA8,2.01901E+13,1.315363034,103.8494345
NTUC FAIRPRICE CO-OPERATIVE LTD,5,UPPER BOON KENG ROAD,5,380005,CE07D83B000,0E191075531C649A,2.01901E+13,1.312654501,103.8725418
NTUC FAIRPRICE CO-OPERATIVE LTD,18 /20,KIM TIAN ROAD,,169252,CE08015J000,FC426D36D4075C0D,2.01901E+13,1.284807346,103.829298
NTUC FAIRPRICE CO-OPERATIVE LTD,80,LORONG LIMAU,191,320080,CE08H32N000,89940D98FCE45C3E,2.01901E+13,1.323796079,103.8556706
NTUC FAIRPRICE CO-OPERATIVE LTD,180,KITCHENER ROAD,10-Sep,208539,CE09H10X000,1D075CE9A085D43E,2.01901E+13,1.311393494,103.8564871
NTUC FAIRPRICE CO-OPERATIVE LTD,150,SILAT AVENUE,44,160150,CE11F41C000,517F93EED9F80703,2.01901E+13,1.277077076,103.8314259
"JEWISH WELFARE BOARD, SINGAPORE, THE",24,WATERLOO STREET,1,187950,CE11H82X000,F23B8179A152C849,2.01901E+13,1.298273289,103.8505995
NTUC FAIRPRICE CO-OPERATIVE LTD,6,SCOTTS ROAD,,228209,CE11M39P000,77462D6E4FE0417D,2.01901E+13,1.305855835,103.8329844
NTUC FAIRPRICE CO-OPERATIVE LTD,712,ANG MO KIO AVENUE 6,4056,560712,CE11N90C000,F8BD1A0C6F5C2F81,2.01901E+13,1.371409205,103.8470829
NTUC FAIRPRICE CO-OPERATIVE LTD,100,TRAS STREET,1,79027,CE12H50C000,A560CDE425D02E85,2.01901E+13,1.274588224,103.8434707
NTUC FAIRPRICE CO-OPERATIVE LTD,20,AH HOOD ROAD,1,329984,CE13O90C000,6EC34C40B1C041F2,2.01901E+13,1.327084859,103.8464765
NTUC FAIRPRICE CO-OPERATIVE LTD,447A,JALAN KAYU,2,791447,CE13R25C000,9C98A7B3A62B0E57,2.01901E+13,1.392138284,103.8724906
COLD STORAGE SINGAPORE (1983) PTE LTD,3,TEMASEK BOULEVARD,,38983,CE13Z03L000,707D40088A6F5927,2.01901E+13,1.294879051,103.8576755
NTUC FAIRPRICE CO-OPERATIVE LTD,808,FRENCH ROAD,1,200808,CE13Z98K000,B0046E59432ED08F,2.01901E+13,1.308806095,103.861312
COLD STORAGE SINGAPORE (1983) PTE LTD,16,ENGGOR STREET,,79717,CE14G71E000,68F945CC05F689F1,2.01901E+13,1.274617942,103.8443196
NTUC FAIRPRICE CO-OPERATIVE LTD,33,SENGKANG WEST AVENUE,24,797653,CE14L50J000,63E9C290729A8097,2.01901E+13,1.391393057,103.8760677
NTUC FAIRPRICE CO-OPERATIVE LTD,279,SENGKANG EAST AVENUE,6,540279,CE15695V000,3AFDC56CA244253F,2.01901E+13,1.386218353,103.8929955
NTUC FAIRPRICE CO-OPERATIVE LTD,20,LENGKOK BAHRU,13,159053,CE15G35E000,367B3DC566C976CD,2.01901E+13,1.286680272,103.8137663
NTUC FAIRPRICE CO-OPERATIVE LTD,574,ANG MO KIO AVENUE 10,1847,560574,CE16K18V000,1E35E0C46465FD7B,2.01901E+13,1.370894561,103.8563965
NTUC FAIRPRICE CO-OPERATIVE LTD,410A,SIN MING AVENUE,2,571410,CE17E43B000,A8542902A6D01A49,2.01901E+13,1.363215861,103.8354454
NTUC FAIRPRICE CO-OPERATIVE LTD,30,BENDEMEER ROAD,871,330030,CE17K55B000,A278D9A9C68882B7,2.01901E+13,1.319093442,103.8639053
NTUC FAIRPRICE CO-OPERATIVE LTD,95,LORONG 4 TOA PAYOH,68,310095,CE17L02A000,3FAE712FCD9D09BB,2.01901E+13,1.33889072,103.8489933
SF (313) PTE. LTD.,3,TEMASEK BOULEVARD,616,38983,CE17P14L000,707D4008373C1FB0,2.01901E+13,1.294879051,103.8576755
YOUR GROCER PRIVATE LIMITED,34,JALAN BUKIT HO SWEE,870,160034,CE18R71X000,2185484A7816B459,2.01901E+13,1.288076883,103.8270813
COLD STORAGE SINGAPORE (1983) PTE LTD,8A,MARINA BOULEVARD,44-50,18984,CE18T11J000,64A2013F18D25FEE,2.01901E+13,1.280227686,103.8533493
PAN PACIFIC INTERNATIONAL HOLDINGS PTE. LTD.,180,KITCHENER ROAD,6,208539,CE18T88K000,1D075CE9DF75DFC9,2.01901E+13,1.311393494,103.8564871
NTUC FAIRPRICE CO-OPERATIVE LTD,114,ALJUNIED AVENUE 2,75,380114,E02034P000,618DDF0CC172A358,2.01901E+13,1.321766446,103.8866728
NTUC FAIRPRICE CO-OPERATIVE LTD,212,BEDOK NORTH STREET 1,147,460212,E02035N000,FBB76B059C1D994A,2.01901E+13,1.325940697,103.93164
NTUC FAIRPRICE CO-OPERATIVE LTD,152B,SERANGOON NORTH AVENUE 1,384,552152,E02039E000,2ED98545865DE1C7,2.01901E+13,1.369799402,103.8730358
NTUC FAIRPRICE CO-OPERATIVE LTD,6,MARINE PARADE CENTRAL,,449411,E02096K000,B5259E55782463A5,2.01901E+13,1.301419557,103.9071127
NTUC FAIRPRICE CO-OPERATIVE LTD,934,EAST COAST ROAD,,459125,E83157K000,AC99C8F975864BA2,2.01901E+13,1.312307528,103.9252345
NTUC FAIRPRICE CO-OPERATIVE LTD,77,CIRCUIT ROAD,464/6,370077,E95315V000,D8DDD1364FF2F745,2.01901E+13,1.328556569,103.8853499
NTUC FAIRPRICE CO-OPERATIVE LTD,239/255,EAST COAST ROAD,,428932,E98161V000,96F10AFEB22C27BF,2.01901E+13,1.308361652,103.9079888
NTUC FAIRPRICE CO-OPERATIVE LTD,221,BOON LAY PLACE,200,640221,J02013A000,C5D382FA8A46B194,2.01901E+13,1.346348193,103.7124293
NTUC FAIRPRICE CO-OPERATIVE LTD,21,CHOA CHU KANG AVENUE 4,3,689812,J96145K000,4D9DA5784F87535E,2.01901E+13,1.385068363,103.7449504
NTUC FAIRPRICE CO-OPERATIVE LTD,138,TAMPINES STREET 11,136,521138,NE04047K000,6558AF793E6021B8,2.01901E+13,1.345281442,103.9453443
NTUC FAIRPRICE CO-OPERATIVE LTD,168,PUNGGOL FIELD,1,820168,NE04107V000,94829DCFB889E7AD,2.01901E+13,1.394184095,103.9129764
NTUC FAIRPRICE CO-OPERATIVE LTD,866A,TAMPINES STREET 83,1,521866,NE04114A000,EFDB60DE518B215C,2.01901E+13,1.355421763,103.9343152
NTUC FAIRPRICE CO-OPERATIVE LTD,1,PASIR RIS CLOSE,127,519599,NE08058P000,2D3F74CA49205874,2.01901E+13,1.377140734,103.9535991
NTUC FAIRPRICE CO-OPERATIVE LTD,BLK 277C,COMPASSVALE LINK,13,543277,NE08150C000,6D3BDFC26E5A4AB2,2.01901E+13,1.38233698,103.8936078
COLD STORAGE SINGAPORE (1983) PTE LTD,10,TAMPINES CENTRAL 1,2-Jan,529536,NE09027A000,90D4D9CDDFD52FAA,2.01901E+13,1.354315564,103.9450195
NTUC FAIRPRICE CO-OPERATIVE LTD,100,HOUGANG AVENUE 10,1,538767,NE09263B000,57E0B3B56BFE85B9,2.01901E+13,1.371779957,103.8941654
NTUC FAIRPRICE CO-OPERATIVE LTD,1,MAJU AVENUE,14-Nov,556679,NE10310X000,8ED32C743B83D1CB,2.01901E+13,1.36516071,103.8650419
NTUC FAIRPRICE CO-OPERATIVE LTD,612,PUNGGOL DRIVE,6,820612,NE12B79A000,EDD3F8A190365803,2.01901E+13,1.404610028,103.9086656
NTUC FAIRPRICE CO-OPERATIVE LTD,476,UPPER SERANGOON VIEW,18,530476,NE15467C000,5D8CF73D82E2D2D3,2.01901E+13,1.377430064,103.9037129
NTUC FAIRPRICE CO-OPERATIVE LTD,51,TAMPINES AVENUE 4,1,528523,NE16640E000,879B533DDE7D971B,2.01901E+13,1.35349616,103.9396836
U STARS SUPERMARKET PTE. LTD.,878C,TAMPINES AVENUE 8,65,523878,NE17390X000,7B4637BC59034D55,2.01901E+13,1.351264107,103.9293638
NTUC FAIRPRICE CO-OPERATIVE LTD,872C,TAMPINES STREET 86,1,523872,NE17563L000,6FAEE68236789B6D,2.01901E+13,1.355242899,103.9316236
NTUC FAIRPRICE CO-OPERATIVE LTD,681,PUNGGOL DRIVE,1,820681,NE18169P000,CFB223ABC56F4731,2.01901E+13,1.402878451,103.9131957
NTUC FAIRPRICE CO-OPERATIVE LTD,900,SOUTH WOODLANDS DRIVE,1,730900,NW04127A000,6E838EA78CB67267,2.01901E+13,1.435077894,103.7866196
NTUC FAIRPRICE CO-OPERATIVE LTD,511,CANBERRA ROAD,3,750511,NW06546V000,EA43756B63AE5BD2,2.01901E+13,1.453845188,103.8195433
NTUC FAIRPRICE CO-OPERATIVE LTD,355,SEMBAWANG WAY,1,750355,NW07277P000,871279A45CEE1E93,2.01901E+13,1.449566476,103.8186411
NTUC FAIRPRICE CO-OPERATIVE LTD,36,HOLLAND DRIVE,3,270036,NW08477X000,4631ECA22376D5D7,2.01901E+13,1.309182112,103.7925475
SHENG SIONG SUPERMARKET PTE LTD,1,WOODLANDS ROAD,7,677899,NW11767E000,73E590BC99EA9E8D,2.01901E+13,1.380605116,103.7600416
NTUC FAIRPRICE CO-OPERATIVE LTD,570B,WOODLANDS AVENUE 1,6,732570,NW13K05E000,6DC01E96DE9196E5,2.01901E+13,1.43106395,103.7904541
NTUC FAIRPRICE CO-OPERATIVE LTD,17,PETIR ROAD,67,678278,NW17097K000,0F6D2805D151B799,2.01901E+13,1.378349714,103.7627412
CUTECH GREEN VENTURES PTE. LTD.,10,WOODLANDS INDUSTRIAL PARK E1,,757733,NW17699N000,5DC9CF3CF21857D9,2.01901E+13,1.453343622,103.7956824
NTUC FAIRPRICE CO-OPERATIVE LTD,1,NORTHPOINT DRIVE,103,768019,NW17872B000,A507A2041C1E0090,2.01901E+13,1.427999957,103.836142
NTUC FAIRPRICE CO-OPERATIVE LTD,676,WOODLANDS DRIVE 71,2,730676,NW17908L000,80FFC586D66A480E,2.01901E+13,1.439916079,103.8007012
NTUC FAIRPRICE CO-OPERATIVE LTD,29A,GHIM MOH LINK,1,271029,NW18091N000,CB074CE9A66B40A9,2.01901E+13,1.308492885,103.7845981
NTUC FAIRPRICE CO-OPERATIVE LTD,598,YISHUN RING ROAD,1,768698,NW18192E000,43A0261E776070BB,2.01901E+13,1.417999257,103.8412365
SHENG SIONG SUPERMARKET PTE LTD,573,WOODLANDS DRIVE 16,1,730573,NW18778K000,34B968593E51F43C,2.01901E+13,1.431098071,103.7985076
NTUC FAIRPRICE CO-OPERATIVE LTD,510,BISHAN STREET 13,520,570510,S02021B000,D6271526316691C6,2.01901E+13,1.348888439,103.849692
NTUC FAIRPRICE CO-OPERATIVE LTD,9,BISHAN PLACE,20,579837,S02023V000,FA9FA5ABA05A847E,2.01901E+13,1.350239427,103.8484776
NTUC FAIRPRICE CO-OPERATIVE LTD,90,HOUGANG AVENUE 10,7,538766,S02026N000,50B8953758D1012C,2.01901E+13,1.372311865,103.8936616
NTUC FAIRPRICE CO-OPERATIVE LTD,682,HOUGANG AVENUE 4,310,530682,S02027L000,9AF391E828F682EA,2.01901E+13,1.3736183,103.8857489
NTUC FAIRPRICE CO-OPERATIVE LTD,202,HOUGANG STREET 21,0,530202,S02028K000,C2F5E50531DA5597,2.01901E+13,1.357575581,103.8840385
NTUC FAIRPRICE CO-OPERATIVE LTD,1,HOUGANG STREET 91,1,538692,S02029J000,F23F4D1905C24B08,2.01901E+13,1.375667281,103.8794503
NTUC FAIRPRICE CO-OPERATIVE LTD,1,PASIR RIS CENTRAL STREET 3,10,518457,S02034N000,59D794C1E51C56C4,2.01901E+13,1.372449809,103.9497157
NTUC FAIRPRICE CO-OPERATIVE LTD,4,TAMPINES CENTRAL 5,12,529510,S02039C000,CF4061E3C2BB8F61,2.01901E+13,1.35267232,103.944388
NTUC FAIRPRICE CO-OPERATIVE LTD,745,BEDOK RESERVOIR ROAD,3015,470745,S02049A000,06CCD5AEC49398A2,2.01901E+13,1.337404713,103.9217747
SONG FISH DEALER PTE LTD,750,CHAI CHEE ROAD,9,469000,SE16670X000,939FBC8A6B9FFEE4,2.01711E+13,1.323651731,103.922103
U STARS PTE. LTD.,507,YISHUN AVENUE 4,9,760507,NW17212X000,28C4982939CE3342,2.01711E+13,1.415176338,103.8398304
SHENG SIONG SUPERMARKET PTE LTD,88,TANGLIN HALT ROAD,10,141088,CE07783P000,EBA347CA8E4DF407,2.01711E+13,1.302038029,103.7980217
L M MEAT PTE. LTD.,750,CHAI CHEE ROAD,10,469000,SE16607K000,939FBC8A94020BB3,2.01711E+13,1.323651731,103.922103
SHENG SIONG SUPERMARKET PTE LTD,258,PASIR RIS STREET 21,10,510258,NE17023N000,D471C18D5C9A605B,2.01711E+13,1.367000535,103.9646178
OH BENG GUAN,395A,BUKIT BATOK WEST AVENUE 5,10,651395,SW06322N000,3F2FB67F7AEF8F7B,2.01711E+13,1.363938215,103.751896
IROHA INTERNATIONAL PTE. LTD.,133,NEW BRIDGE ROAD,11,59413,CE17F56J000,FC1B4354AC88A2B3,2.01711E+13,1.284998839,103.8446971
COLD STORAGE SINGAPORE (1983) PTE LTD,316B,ANG MO KIO STREET 31,11,563316,CE05096V000,4B8C965EBF10F6E4,2.01711E+13,1.3646254,103.847677
COLD STORAGE SINGAPORE (1983) PTE LTD,1,SELETAR ROAD,11,807011,CE11P32L000,E1D1A8CFFCFF6461,2.01711E+13,1.387395374,103.869136
COLD STORAGE SINGAPORE (1983) PTE LTD,112,EAST COAST ROAD,12,428802,SE11930L000,6ADEFEBC99EB995D,2.01711E+13,1.30523472,103.9050149
CULINA PTE LTD,8,DEMPSEY ROAD,13,247696,CE07411A000,6A804D86ACCD9544,2.01711E+13,1.304175119,103.8095261
COLD STORAGE SINGAPORE (1983) PTE LTD,181,LORONG 4 TOA PAYOH,602,310181,S02057A000,AA62F951DBDE4FDC,2.01711E+13,1.33362232,103.8509779
COLD STORAGE SINGAPORE (1983) PTE LTD,86,REDHILL CLOSE,610,150086,W72014K000,16BAE9E78C33BF64,2.01711E+13,1.286920064,103.8186736
SHENG SIONG SUPERMARKET PTE LTD,209,NEW UPPER CHANGI ROAD,631,460209,SE04069A000,7C2679FDD46A03D2,2.01711E+13,1.324635732,103.9310688
PRIME SUPERMARKET LIMITED,678,WOODLANDS AVENUE 6,716,730678,B02027A000,A3E9F52EA20A4AA4,2.01711E+13,1.439983654,103.8012931
NG TOH TET,442,JURONG WEST AVENUE 1,756,640442,J02016P000,51E44E114D24A291,2.01711E+13,1.351518472,103.7194965
HAO MART PTE. LTD.,120,POTONG PASIR AVENUE 1,812,350120,E85090E000,44AA20183AB0C771,2.01711E+13,1.335453527,103.863388
CHUA & NG PTE. LTD.,632,BEDOK RESERVOIR ROAD,824,470632,NE08405X000,F5F55F22EF14EA1C,2.01711E+13,1.332050946,103.9141451
LOCH GROCER PTE. LTD.,503,JURONG WEST AVENUE 1,847,640503,SW09133X000,EEC186165D0A8166,2.01711E+13,1.34995541,103.7177048
TANESEI TRADING PTE. LTD.,1,VISTA EXCHANGE GREEN,28,138617,SW12J94X000,A0FE8279FB2C316D,2.01711E+13,1.306848827,103.7882145
ARCHANA SUPERMARKET PTE. LTD.,1,JALAN PAPAN,29,619392,SW16856V000,1E09589ACA5444FD,2.01711E+13,1.320484261,103.7267228
COLD STORAGE SINGAPORE (1983) PTE LTD,468B,ADMIRALTY DRIVE,29,752468,NW09437C000,93284ECF02D2C362,2.01711E+13,1.450008612,103.8141109
COLD STORAGE SINGAPORE (1983) PTE LTD,144,UPPER BUKIT TIMAH ROAD,1,588177,C02048E000,85C2936DDD270371,2.01711E+13,1.342392845,103.7762505
COLD STORAGE SINGAPORE (1983) PTE LTD,896,DUNEARN ROAD,1,589472,NW15295X000,F6C9A8232851A10E,2.01711E+13,1.336675729,103.7837092
ISETAN (SINGAPORE) LIMITED?,3,GATEWAY DRIVE,1,608532,SW13W88P000,52762EE4E11C1136,2.01711E+13,1.334025295,103.742586
COLD STORAGE SINGAPORE (1983) PTE LTD,638,JURONG WEST STREET 61,1,640638,SW05008N000,9D4B00D78EE6C414,2.01711E+13,1.341591083,103.6970201
PRIME SUPERMARKET LIMITED,763,JURONG WEST STREET 75,1,640763,J94081B000,42F0880F0319FFF0,2.01711E+13,1.348726433,103.698292
SHENG SIONG SUPERMARKET PTE LTD,154A,BUKIT BATOK WEST AVENUE 8,1,651154,C02033V000,34993015030C6436,2.01711E+13,1.3473718,103.7436981
COLD STORAGE SINGAPORE (1983) PTE LTD,1,BUKIT BATOK CENTRAL LINK,1,658713,C02046K000,3FAA9C0F7EBAE4EB,2.01711E+13,1.350189159,103.749022
TANESEI RETAILING PTE. LTD.,2,TAMPINES CENTRAL 5,6,529509,NE18406E000,7B55F502FCBD4F10,2.01807E+13,1.35236113,103.9437848
LITTLE FARMS PTE. LTD.,7,WALLICH STREET,6,78884,CE16M43E000,5C0DA5EB545D290B,2.01807E+13,1.276724932,103.8451554
MAHOTA FOOD PTE. LTD.,2,TAMPINES CENTRAL 5,7,529509,S02041P000,7B55F5026E1D850C,2.01807E+13,1.35236113,103.9437848
SONG FISH DEALER PTE LTD,2,TAMPINES CENTRAL 5,8,529509,NE18339P000,7B55F5021DC385BD,2.01807E+13,1.35236113,103.9437848
SHENG SIONG SUPERMARKET PTE LTD,25,GHIM MOH LINK,11,270025,SW12M64L000,AF844D2DC3D279A9,2.01807E+13,1.30811887,103.7860494
SHENG SIONG SUPERMARKET PTE LTD,2,ANG MO KIO DRIVE,12,567720,CE12J32X000,0EE1D35E42FAF59A,2.01807E+13,1.377892031,103.856412
ISYMI PTE LTD,183,JALAN PELIKAT,12,537643,NE18066E000,13FEA605430E11A7,2.01807E+13,1.355309033,103.8878572
THE SEAFOOD MARKET PLACE (BY SONG FISH) PTE. LTD.,11,TANJONG KATONG ROAD,15,437157,SE18169X000,5373FE2C2542A82A,2.01807E+13,1.314692141,103.8944805
TOH GUAN MINI MART PTE LTD,19,TOH GUAN ROAD EAST,65,608568,SW06002X000,7D560DE5FBC479E4,2.01711E+13,1.338326579,103.7535361
KADER HASNA MARICAN,17,KIAN TECK LANE,65,627851,J03027B000,48D694F77BDDF3B8,2.01711E+13,1.333145775,103.6952481
"TANG KER AN, TIMOTHY",18,BEDOK SOUTH ROAD,67,460018,SE17401C000,8F06CB553CAC00B7,2.01711E+13,1.320625059,103.9347342
COLD STORAGE SINGAPORE (1983) PTE LTD,256,BANGKIT ROAD,69,670256,B02060V000,5FA77C2D92DF2C69,2.01711E+13,1.379047756,103.7729375
MM SUNDRY SHOP PTE.LTD.,27,WOODLANDS SECTOR 1,70,738252,NW07726J000,0C9F58A0D266482F,2.01711E+13,1.454646548,103.8044767
AL MARCHE PTE LTD,2,MARINA BOULEVARD,5,18987,CE09874X000,0B5E8C0719CDF4FB,2.01711E+13,1.280769443,103.8526586
COLD STORAGE SINGAPORE (1983) PTE LTD,1,FIFTH AVENUE,5,268802,C02024A000,A367F6F11F9F5E4F,2.01711E+13,1.330817402,103.7956924
COLD STORAGE SINGAPORE (1983) PTE LTD,211,HOLLAND AVENUE,5,278967,W02066L000,41A9A338E183E6E0,2.01711E+13,1.310255422,103.7953504
THE ALASKA GUYS PTE. LTD.,201,TELOK KURAU ROAD,5,423910,SE12D97J000,242BE46EFDCB9A13,2.01711E+13,1.312122477,103.911186
COLD STORAGE SINGAPORE (1983) PTE LTD,70,WOODLANDS AVENUE 7,5,738344,NW08020K000,01A592466FEE8456,2.01711E+13,1.440538149,103.8009776
SONG FISH DEALER PTE LTD,930,YISHUN AVENUE 2,5,769098,NW17310P000,CABE56048480C346,2.01711E+13,1.429698482,103.8357765
SHENG SIONG SUPERMARKET PTE LTD,547,SEGAR ROAD,6,670547,NW15186C000,FFADBE6EC613A39A,2.01711E+13,1.388240215,103.7695754
SHENG SIONG SUPERMARKET PTE LTD,473,FERNVALE STREET,6,790473,CE16913J000,D928E5F65E28DEF6,2.01711E+13,1.39779874,103.8816988
COLD STORAGE SINGAPORE (1983) PTE LTD,622D,PUNGGOL CENTRAL,6,824622,NE13M11K000,BF0F0FB5EA7C572A,2.01711E+13,1.400531143,103.9105369
